"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"1","","file:/data/","/data","data","","Done","","Folder","","2015-12-11T14:55:31","false","",""
"2","1","file:/data/s7540817.kro","/data/s7540817.kro","s7540817.kro","","Done","342016","File","kro","2006-08-17T11:47:22","false","","0"
"3","1","file:/data/s7540828.kro","/data/s7540828.kro","s7540828.kro","","Done","348160","File","kro","2006-08-28T11:49:48","false","","0"
"4","1","file:/data/s7540802.kro","/data/s7540802.kro","s7540802.kro","","Done","208896","File","kro","2006-08-02T11:55:32","false","","0"
"5","1","file:/data/s7540825.kro","/data/s7540825.kro","s7540825.kro","","Done","317440","File","kro","2006-08-25T11:28:58","false","","0"
"6","1","file:/data/s7540818.kro","/data/s7540818.kro","s7540818.kro","","Done","204800","File","kro","2006-08-18T10:30:54","false","","0"
"7","1","file:/data/s7540821.kro","/data/s7540821.kro","s7540821.kro","","Done","342016","File","kro","2006-08-21T12:48:18","false","","0"
"8","1","file:/data/s7540803.kro","/data/s7540803.kro","s7540803.kro","","Done","413696","File","kro","2006-08-03T13:47:50","false","","0"
"9","1","file:/data/s7540823.kro","/data/s7540823.kro","s7540823.kro","","Done","235520","File","kro","2006-08-24T07:38:48","false","","0"
"10","1","file:/data/s7540829.kro","/data/s7540829.kro","s7540829.kro","","Done","274432","File","kro","2006-08-29T11:42:20","false","","0"
"11","1","file:/data/s7540816.kro","/data/s7540816.kro","s7540816.kro","","Done","360448","File","kro","2006-08-16T14:25:52","false","","0"
"12","1","file:/data/s7540830.kro","/data/s7540830.kro","s7540830.kro","","Done","251904","File","kro","2006-08-30T11:48:50","false","","0"
"13","1","file:/data/s7540804.kro","/data/s7540804.kro","s7540804.kro","","Done","342016","File","kro","2006-08-04T12:51:24","false","","0"
"14","1","file:/data/s7540822.kro","/data/s7540822.kro","s7540822.kro","","Done","360448","File","kro","2006-08-22T11:43:12","false","","0"
"15","1","file:/data/s7540824.kro","/data/s7540824.kro","s7540824.kro","","Done","243712","File","kro","2006-08-24T11:54:00","false","","0"
"16","1","file:/data/s7540831.kro","/data/s7540831.kro","s7540831.kro","","Done","108544","File","kro","2006-08-31T09:46:14","false","","0"
